Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,City,CLTV,Contract,Country,Customer ID,Customer Status,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
48,9,27.41,Goleta,4114,Two Year,United States,2077-DDHJK,Stayed,0,1,Female,1,2,"34.489983, -120.091246",34.489983,-120.091246,1,70.9,1,0,2,,1,1,0,1,Credit Card,1,49975,1,Q3,1,4,0,California,0,0,0,68,4911.35,0,1863.88,49.37,6725.86,0,1,93117,0
22,59,2.73,Stockton,4237,Two Year,United States,9114-DPSIA,Stayed,1,1,Male,1,2,"37.965695, -121.260051",37.965695,-121.260051,1,81,1,3,8,,1,1,0,1,Credit Card,1,34138,1,Q3,1,3,0,California,1,1,0,72,5750,0,196.56,0,5946.56,1,1,95205,0
38,20,27.89,Van Nuys,2699,Month-to-Month,United States,3494-JCHRQ,Churned,0,0,Male,1,3,"34.17847, -118.459472",34.17847,-118.459472,0,70.05,0,0,0,,0,0,1,0,Bank Withdrawal,1,23646,0,Q3,0,2,0,California,0,0,0,1,70.05,0,27.89,0,97.94,0,1,91411,1
46,0,43.8,El Centro,4691,One Year,United States,2277-AXSDC,Stayed,0,0,Female,0,,"32.770393, -115.60915",32.770393,-115.60915,0,19.75,0,0,0,,0,0,0,0,Bank Withdrawal,1,43712,0,Q3,0,4,0,California,0,0,0,32,624.15,0,1401.6,0,2025.75,0,0,92243,0
47,3,17.07,Placerville,4592,Month-to-Month,United States,1928-BXYIV,Joined,0,0,Male,1,2,"38.733714, -120.795213",38.733714,-120.795213,0,61.15,1,0,0,Offer E,1,1,0,0,Bank Withdrawal,1,34146,0,Q3,0,4,0,California,0,0,0,1,61.15,0,17.07,0,78.22,0,1,95667,0
48,20,38.5,Culver City,2651,Month-to-Month,United States,7326-RIGQZ,Stayed,1,0,Male,1,3,"33.993991, -118.39704",33.993991,-118.39704,1,69.8,0,3,9,,0,0,1,1,Bank Withdrawal,1,31963,0,Q3,1,4,0,California,0,0,0,6,377.85,0,231,0,608.85,0,1,90230,0
68,19,8.97,Forbestown,5166,Month-to-Month,United States,8634-MPHTR,Churned,0,1,Male,1,3,"39.531028, -121.24807",39.531028,-121.24807,1,100.05,1,0,1,,0,0,1,1,Bank Withdrawal,1,452,0,Q3,1,1,1,California,1,0,1,47,4871.05,0,421.59,0,5292.64,0,1,95941,1
48,0,19.28,Huntington Park,5190,Two Year,United States,0064-SUDOG,Stayed,1,0,Female,0,,"33.97803, -118.217141",33.97803,-118.217141,1,20.3,0,3,3,,0,0,0,1,Bank Withdrawal,1,78114,0,Q3,1,5,0,California,0,0,0,12,224.5,0,231.36,0,455.86,0,0,90255,0
60,0,47.46,Chester,3142,Month-to-Month,United States,6972-SNKKW,Stayed,0,0,Female,0,,"40.243494, -121.154733",40.243494,-121.154733,0,20,0,0,0,,0,0,0,0,Mailed Check,1,2664,0,Q3,0,3,0,California,0,0,0,6,109.2,0,284.76,0,393.96,0,0,96020,0
50,28,22.05,Hawthorne,4017,Month-to-Month,United States,3877-JRJIP,Churned,0,0,Male,1,1,"33.914775, -118.348083",33.914775,-118.348083,0,59.85,1,0,0,,0,0,1,0,Bank Withdrawal,1,93315,0,Q3,0,2,0,California,0,0,1,1,59.85,0,22.05,0,81.9,0,1,90250,1
80,5,28.64,Escondido,5345,Month-to-Month,United States,7409-KIUTL,Churned,0,0,Female,1,3,"33.141265, -116.967221",33.141265,-116.967221,0,71,0,0,0,,0,0,1,0,Bank Withdrawal,1,48690,0,Q3,0,3,1,California,0,0,0,1,71,0,28.64,0,99.64,0,1,92027,1
76,10,42.29,Cathedral City,2677,One Year,United States,3951-NJCVI,Stayed,0,0,Female,1,3,"33.829583, -116.474131",33.829583,-116.474131,1,95.05,1,0,10,,0,0,1,1,Bank Withdrawal,1,43141,0,Q3,1,4,1,California,1,0,1,42,3944.5,100,1776.18,0,5820.68,0,0,92234,0
34,0,40.91,Santa Barbara,4311,Two Year,United States,8285-ABVLB,Stayed,0,0,Female,0,,"34.438581, -119.685368",34.438581,-119.685368,1,19.85,0,0,0,,0,0,0,1,Credit Card,1,20893,0,Q3,0,4,0,California,0,0,0,70,1328.35,0,2863.7,33.29,4158.76,0,0,93103,0
30,30,17.22,Elk Grove,5944,Month-to-Month,United States,0637-KVDLV,Churned,0,0,Male,1,3,"38.35363, -121.44195",38.35363,-121.44195,0,76.5,1,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,47065,0,Q3,0,1,0,California,0,0,0,2,162.45,0,34.44,0,196.89,0,1,95758,1
50,11,35.49,San Dimas,3585,Month-to-Month,United States,0260-ZDLGK,Churned,1,1,Female,1,1,"34.102119, -117.815532",34.102119,-117.815532,0,72.9,0,2,0,,0,0,1,0,Credit Card,1,33878,1,Q3,0,1,0,California,1,1,1,9,651.4,0,319.41,0,970.81,0,1,91773,1
28,52,35.2,Cedar Glen,5605,Month-to-Month,United States,1548-ARAGG,Stayed,1,0,Female,1,2,"34.255203, -117.175654",34.255203,-117.175654,1,58.5,1,3,9,,1,0,1,1,Credit Card,1,455,1,Q3,1,3,0,California,0,0,0,4,224.85,0,140.8,0,365.65,1,1,92321,0
46,0,44.84,Los Angeles,6334,Two Year,United States,1987-AUELQ,Stayed,0,0,Female,0,,"34.028735, -118.317236",34.028735,-118.317236,1,25.05,1,0,0,,0,0,0,1,Credit Card,1,47143,0,Q3,0,5,0,California,0,0,0,71,1873.7,0,3183.64,0,5057.34,0,0,90018,0
69,19,45.88,San Diego,2482,Month-to-Month,United States,2684-EIWEO,Churned,0,1,Female,1,3,"32.961064, -117.134917",32.961064,-117.134917,0,91.7,1,0,0,,1,1,0,0,Credit Card,1,47224,0,Q3,0,1,1,California,0,0,0,30,2758.15,0,1376.4,0,4134.55,0,1,92129,1
35,56,12.96,Plymouth,4480,Two Year,United States,1027-LKKQQ,Stayed,1,1,Female,1,2,"38.489273, -120.891614",38.489273,-120.891614,1,80.45,0,3,3,,0,1,1,1,Bank Withdrawal,1,2220,1,Q3,1,3,0,California,1,1,1,72,5886.85,0,933.12,0,6819.97,0,1,95669,0
37,14,2.72,Ione,2388,Month-to-Month,United States,3717-OEAUQ,Joined,0,0,Male,1,3,"38.33788, -120.954202",38.33788,-120.954202,0,70.7,0,0,0,Offer E,0,0,0,0,Credit Card,1,9752,0,Q3,0,4,0,California,0,0,0,2,129.2,10,5.44,0,144.64,0,0,95640,0
60,0,18.64,Somes Bar,3828,Two Year,United States,7033-CLAMM,Stayed,1,0,Female,0,,"41.444606, -123.471895",41.444606,-123.471895,1,20.2,0,2,6,Offer B,0,0,0,1,Bank Withdrawal,1,202,0,Q3,1,5,0,California,0,0,0,48,1027.25,0,894.72,0,1921.97,0,0,95568,0
39,6,14.07,Boulder Creek,2187,Month-to-Month,United States,1143-NMNQJ,Churned,0,0,Female,1,3,"37.171727, -122.142961",37.171727,-122.142961,0,85.7,1,0,0,,0,0,1,0,Bank Withdrawal,1,10520,0,Q3,0,2,0,California,1,1,0,2,169.8,0,28.14,0,197.94,0,1,95006,1
35,13,22.33,Los Angeles,2039,Month-to-Month,United States,6839-ITVZJ,Churned,0,0,Female,1,2,"34.002642, -118.287596",34.002642,-118.287596,1,60.05,1,0,1,,1,0,1,1,Bank Withdrawal,1,56709,1,Q3,1,2,0,California,0,0,0,26,1616.15,0,580.58,0,2196.73,0,1,90037,1
20,27,26.63,Esparto,5611,Month-to-Month,United States,8082-GHXOP,Stayed,1,0,Male,1,2,"38.834469, -122.127193",38.834469,-122.127193,0,44,0,1,0,Offer D,0,0,0,0,Credit Card,1,2756,0,Q3,0,3,0,California,0,1,0,13,659.35,0,346.19,0,1005.54,1,1,95627,0
59,76,29.5,Sacramento,6123,One Year,United States,3569-VLDHH,Stayed,1,1,Male,1,2,"38.517295, -121.439819",38.517295,-121.439819,1,75.1,0,3,0,Offer A,1,1,1,1,Bank Withdrawal,1,30580,1,Q3,0,4,0,California,0,0,1,66,5013,0,1947,0,6960,0,1,95824,0
27,0,43.5,Thousand Palms,3854,Month-to-Month,United States,3061-BCKYI,Stayed,0,0,Male,0,,"33.849263, -116.382778",33.849263,-116.382778,0,19.9,0,0,0,Offer D,0,0,0,0,Credit Card,1,6242,0,Q3,0,3,0,California,0,0,0,14,283.75,0,609,0,892.75,1,0,92276,0
39,13,35.18,Lebec,3972,Month-to-Month,United States,6424-ELEYH,Churned,0,0,Female,1,3,"34.845861, -118.885163",34.845861,-118.885163,1,74.75,1,0,1,Offer E,0,0,1,1,Credit Card,1,1247,0,Q3,1,1,0,California,0,0,0,3,229.5,0,105.54,0,335.04,0,1,93243,1
63,20,27,Newark,4634,Two Year,United States,9018-PCIOK,Stayed,0,1,Female,1,1,"37.504133, -122.032347",37.504133,-122.032347,0,64.75,0,0,0,Offer B,1,0,1,0,Mailed Check,1,42491,0,Q3,0,3,0,California,1,1,0,55,3617.1,0,1485,0,5102.1,0,1,94560,0
71,21,0,Greenville,6285,Month-to-Month,United States,3256-EZDBI,Stayed,0,0,Male,1,2,"40.160386, -120.835428",40.160386,-120.835428,1,29.45,0,0,1,Offer B,1,0,1,1,Credit Card,0,2064,0,Q3,1,4,1,California,0,0,0,51,1459.35,0,0,0,1459.35,0,1,95947,0
38,30,0,Fiddletown,4507,Two Year,United States,3249-VHRIP,Stayed,0,1,Female,1,1,"38.513484, -120.704613",38.513484,-120.704613,0,43.6,0,0,0,Offer B,1,0,1,0,Credit Card,0,850,0,Q3,0,4,0,California,1,1,0,62,2748.7,0,0,0,2748.7,0,1,95629,0
76,15,3.42,Glendale,2768,Two Year,United States,2921-XWDJH,Stayed,0,0,Female,1,3,"34.167926, -118.267539",34.167926,-118.267539,1,83.45,0,0,0,,0,1,1,1,Bank Withdrawal,1,21990,0,Q3,0,3,1,California,1,0,0,38,3147.15,0,129.96,24.98,3252.13,0,1,91202,0
76,9,0,Loomis,5295,Two Year,United States,5456-ITGIC,Stayed,0,1,Male,1,2,"38.809175, -121.171375",38.809175,-121.171375,1,64.45,0,0,9,,1,1,1,1,Credit Card,0,11191,1,Q3,1,5,1,California,1,1,1,72,4641.1,0,0,0,4641.1,0,1,95650,0
62,20,44,San Bernardino,6202,Two Year,United States,7971-HLVXI,Stayed,1,0,Male,1,3,"34.183286, -117.221722",34.183286,-117.221722,1,84.5,1,2,4,Offer A,0,0,1,1,Credit Card,1,53636,0,Q3,1,5,0,California,1,1,0,72,6130.85,0,3168,0,9298.85,0,1,92404,0
44,0,10.83,Redondo Beach,5946,Two Year,United States,3662-FXJFO,Stayed,0,0,Female,0,,"33.873395, -118.37019",33.873395,-118.37019,0,20.5,0,0,0,Offer B,0,0,1,0,Credit Card,1,37322,0,Q3,0,5,0,California,0,0,0,54,1035.7,0,584.82,0,1620.52,0,0,90278,0
74,4,46.5,Paskenta,4990,Month-to-Month,United States,7779-LGOVN,Churned,0,0,Male,1,1,"39.884395, -122.587513",39.884395,-122.587513,1,86.65,1,0,2,,0,0,1,1,Bank Withdrawal,1,263,0,Q3,1,1,1,California,1,0,0,10,856.65,0,465,0,1321.65,0,1,96074,1
66,28,45.37,Roseville,6019,One Year,United States,2480-EJWYP,Stayed,0,0,Female,1,3,"38.784329, -121.373245",38.784329,-121.373245,1,97.8,1,0,5,Offer B,1,0,1,1,Bank Withdrawal,1,25418,0,Q3,1,3,1,California,1,0,1,58,5458.8,0,2631.46,0,8090.26,0,1,95747,0
33,10,33.82,Roseville,5870,One Year,United States,7544-ZVIKX,Stayed,1,1,Male,1,3,"38.759751, -121.288545",38.759751,-121.288545,1,105.05,1,2,2,,0,0,1,1,Bank Withdrawal,1,30614,1,Q3,1,5,0,California,1,1,1,58,6004.85,0,1961.56,0,7966.41,0,1,95678,0
58,21,1.88,San Diego,4521,Month-to-Month,United States,6257-RJOHI,Stayed,0,0,Male,1,2,"32.76501, -117.19938",32.76501,-117.19938,0,50.8,0,0,0,Offer E,0,0,1,0,Credit Card,1,24169,1,Q3,0,5,0,California,0,0,0,4,202.3,0,7.52,0,209.82,0,1,92110,0
59,26,0,Deer Park,5474,Month-to-Month,United States,2011-TRQYE,Churned,0,1,Male,1,2,"38.554383, -122.474773",38.554383,-122.474773,0,33.5,0,0,0,Offer D,1,0,1,0,Credit Card,0,223,0,Q3,0,2,0,California,0,0,0,18,600,0,0,0,600,0,1,94576,1
60,0,47.33,Baker,5448,One Year,United States,5789-LDFXO,Stayed,0,0,Male,0,,"35.28952, -116.092214",35.28952,-116.092214,0,24.6,1,0,0,Offer C,0,0,0,0,Bank Withdrawal,1,904,0,Q3,0,3,0,California,0,0,0,24,592.65,0,1135.92,0,1728.57,0,0,92309,0
19,59,37.32,Escondido,4081,One Year,United States,6352-GIGGQ,Stayed,0,1,Male,1,2,"33.141265, -116.967221",33.141265,-116.967221,0,88.8,1,0,0,Offer A,1,1,1,0,Bank Withdrawal,1,48690,1,Q3,0,3,0,California,1,1,1,67,5903.15,0,2500.44,0,8403.59,1,1,92027,0
47,26,4.34,Groveland,2709,One Year,United States,6807-SIWJI,Stayed,0,0,Male,1,3,"37.902968, -119.667544",37.902968,-119.667544,0,104.85,1,0,0,Offer C,1,1,1,0,Bank Withdrawal,1,3680,0,Q3,0,4,0,California,1,1,1,38,3887.25,0,164.92,0,4052.17,0,1,95321,0
54,0,15.51,Encino,5527,Month-to-Month,United States,0426-TIRNE,Churned,0,0,Female,0,,"34.150354, -118.518292",34.150354,-118.518292,0,20.9,0,0,0,Offer E,0,0,0,0,Credit Card,1,27614,0,Q3,0,3,0,California,0,0,0,1,20.9,0,15.51,0,36.41,0,0,91316,1
56,30,29.29,Raisin City,5219,Two Year,United States,4291-TPNFG,Stayed,0,1,Male,1,2,"36.594542, -119.905245",36.594542,-119.905245,1,82.3,1,0,1,Offer A,1,1,1,1,Bank Withdrawal,1,265,1,Q3,1,3,0,California,1,1,0,72,5980.55,140,2108.88,0,8229.43,0,0,93652,0
63,3,44.73,Fallbrook,5861,Month-to-Month,United States,3746-EUBYR,Churned,0,0,Male,1,3,"33.362575, -117.299644",33.362575,-117.299644,1,74.6,1,0,1,Offer E,0,0,1,1,Bank Withdrawal,1,42239,0,Q3,1,1,0,California,0,0,0,1,74.6,0,44.73,0,119.33,0,1,92028,1
63,10,20.13,San Mateo,5056,Month-to-Month,United States,9362-MWODR,Stayed,1,0,Female,1,2,"37.556094, -122.272437",37.556094,-122.272437,0,64.1,0,1,0,,0,1,1,0,Credit Card,1,31882,1,Q3,0,3,0,California,0,0,1,40,2460.35,0,805.2,0,3265.55,0,1,94404,0
58,57,0,Cottonwood,2898,Two Year,United States,7321-ZNSLA,Stayed,1,0,Male,1,2,"40.336392, -122.448533",40.336392,-122.448533,1,40.55,0,3,0,,1,1,0,1,Credit Card,0,12348,1,Q3,0,3,0,California,0,0,0,13,590.35,0,0,0,590.35,0,1,96022,0
26,85,21.45,Benicia,4908,One Year,United States,0565-JUPYD,Stayed,0,1,Male,1,3,"38.113533, -122.11926",38.113533,-122.11926,0,104.5,1,0,0,,1,1,0,0,Credit Card,1,25578,1,Q3,0,4,0,California,0,0,1,63,6590.8,0,1351.35,0,7942.15,1,1,94510,0
68,13,15.82,Berry Creek,4032,Two Year,United States,8336-TAVKX,Stayed,0,1,Female,1,2,"39.657228, -121.37778",39.657228,-121.37778,1,78.45,1,0,10,,1,1,0,1,Bank Withdrawal,1,1279,1,Q3,1,3,1,California,1,1,0,72,5682.25,0,1139.04,0,6821.29,0,1,95916,0
33,20,43.14,Paicines,6183,Month-to-Month,United States,3086-RUCRN,Stayed,0,1,Female,1,3,"36.525703, -120.952122",36.525703,-120.952122,0,103.1,1,0,0,Offer A,1,1,1,0,Bank Withdrawal,1,813,1,Q3,0,3,0,California,1,1,0,66,6595,0,2847.24,0,9442.24,0,1,95043,0
49,28,0,Yuba City,4051,Two Year,United States,3745-HRPHI,Stayed,1,1,Male,1,2,"39.075694, -121.70606",39.075694,-121.70606,1,54.65,0,3,0,,0,0,0,1,Bank Withdrawal,0,27786,1,Q3,0,5,0,California,1,1,1,66,3632,0,0,46.75,3585.25,0,1,95993,0
58,7,0,Sunset Beach,3100,Two Year,United States,9928-BZVLZ,Stayed,0,1,Female,1,2,"33.719221, -118.073596",33.719221,-118.073596,0,49.85,0,0,0,Offer D,0,1,0,0,Credit Card,0,1107,1,Q3,0,3,0,California,1,1,0,12,552.1,0,0,0,552.1,0,1,90742,0
20,85,42.59,Bakersfield,5816,Two Year,United States,0674-GCDXG,Stayed,0,1,Male,1,2,"35.559617, -118.925185",35.559617,-118.925185,0,71.9,1,0,0,Offer B,0,1,1,0,Bank Withdrawal,1,44915,1,Q3,0,4,0,California,1,1,0,63,4479.2,0,2683.17,0,7162.37,1,1,93308,0
42,27,38.53,Warner Springs,3972,Two Year,United States,9027-TMATR,Stayed,0,1,Female,1,2,"33.323705, -116.626907",33.323705,-116.626907,1,78.8,0,0,1,,0,1,1,1,Bank Withdrawal,1,1205,1,Q3,1,4,0,California,1,1,1,43,3460.3,0,1656.79,24.9,5092.19,0,1,92086,0
30,59,31.67,Soulsbyville,4533,Month-to-Month,United States,4910-AQFFX,Churned,0,1,Male,1,1,"37.990574, -120.261821",37.990574,-120.261821,1,79.35,1,0,1,,0,0,1,1,Bank Withdrawal,1,1519,0,Q3,1,3,0,California,0,0,0,9,661.25,10,285.03,0,956.28,0,0,95372,1
50,12,13.69,Folsom,2886,One Year,United States,3736-BLEPA,Stayed,0,0,Male,1,3,"38.672638, -121.147403",38.672638,-121.147403,0,91.25,0,0,0,Offer C,1,0,1,0,Bank Withdrawal,1,51855,1,Q3,0,5,0,California,0,0,1,28,2483.65,0,383.32,0,2866.97,0,1,95630,0
56,19,39.07,Heber,5266,Two Year,United States,9220-CXRSC,Stayed,1,0,Female,1,2,"32.730583, -115.501083",32.730583,-115.501083,1,61.4,1,2,10,,0,1,0,1,Credit Card,1,3535,1,Q3,1,3,0,California,0,0,0,69,4059.85,0,2695.83,0,6755.68,0,1,92249,0
76,19,38.85,Mi Wuk Village,5269,Two Year,United States,2452-KDRRH,Stayed,0,1,Male,1,3,"38.121601, -120.133915",38.121601,-120.133915,0,101.4,1,0,0,,0,0,1,0,Credit Card,1,1278,0,Q3,0,4,1,California,1,0,1,67,6841.05,0,2602.95,0,9444,0,1,95346,0
23,0,16.42,San Francisco,4501,One Year,United States,7471-WNSUF,Stayed,0,0,Male,0,,"37.776718, -122.495781",37.776718,-122.495781,1,24.15,1,0,1,Offer B,0,0,0,1,Bank Withdrawal,1,42476,0,Q3,1,3,0,California,0,0,0,60,1505.9,0,985.2,0,2491.1,1,0,94121,0
22,51,18.62,Elk,5870,Month-to-Month,United States,9992-UJOEL,Joined,0,0,Male,1,2,"39.108252, -123.645121",39.108252,-123.645121,0,50.3,0,0,0,Offer E,1,0,1,0,Credit Card,1,383,0,Q3,0,5,0,California,0,0,0,2,92.75,0,37.24,0,129.99,1,1,95432,0
50,21,0,Glendale,2933,Month-to-Month,United States,5204-QZXPU,Churned,0,1,Male,1,2,"34.13658, -118.245839",34.13658,-118.245839,0,39.65,0,0,0,,0,0,1,0,Bank Withdrawal,0,41390,0,Q3,0,1,0,California,0,0,1,19,733.35,0,0,0,733.35,0,1,91205,1
44,24,44.14,Bass Lake,5962,Month-to-Month,United States,9481-SFCQY,Stayed,1,1,Female,1,2,"37.458367, -119.345011",37.458367,-119.345011,0,59.8,0,1,0,Offer D,0,0,1,0,Credit Card,1,613,0,Q3,0,4,0,California,0,0,1,14,824.85,0,617.96,0,1442.81,0,1,93604,0
41,19,14.64,Santa Margarita,5284,Month-to-Month,United States,1247-QBVSH,Stayed,1,0,Female,1,2,"35.303926, -120.256567",35.303926,-120.256567,1,50.2,0,2,1,Offer B,1,0,0,1,Mailed Check,1,2687,0,Q3,1,4,0,California,0,0,0,43,2169.4,0,629.52,0,2798.92,0,1,93453,0
47,6,44.45,Stirling City,5870,One Year,United States,6478-HRRCZ,Stayed,0,0,Male,1,2,"39.904002, -121.527823",39.904002,-121.527823,1,70.5,0,0,7,,1,1,0,1,Credit Card,1,28,1,Q3,1,4,0,California,1,1,0,32,2201.75,0,1422.4,0,3624.15,0,1,95978,0
61,0,33.92,San Jose,5475,Two Year,United States,9838-BFCQT,Stayed,1,0,Male,0,,"37.218705, -121.762429",37.218705,-121.762429,1,26.1,1,2,2,,0,0,0,1,Credit Card,1,7023,0,Q3,1,3,0,California,0,0,0,72,1851.45,0,2442.24,0,4293.69,0,0,95139,0
75,25,1.92,Avila Beach,3728,Two Year,United States,7268-IGMFD,Stayed,0,1,Male,1,3,"35.186644, -120.728305",35.186644,-120.728305,0,93.9,1,0,0,Offer D,0,0,0,0,Bank Withdrawal,1,812,1,Q3,0,4,1,California,0,0,1,18,1743.9,0,34.56,0,1778.46,0,1,93424,0
43,12,31.31,Temecula,4770,One Year,United States,0750-EBAIU,Stayed,0,1,Male,1,3,"33.475493, -117.219551",33.475493,-117.219551,0,91.25,0,0,0,Offer B,0,1,0,0,Bank Withdrawal,1,3070,0,Q3,0,3,0,California,0,0,1,52,4738.3,0,1628.12,0,6366.42,0,1,92590,0
