Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,CLTV,Contract,Internet Service,Internet Type,Monthly Charge,Multiple Lines,Phone Service,Population,Satisfaction Score,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Unlimited Data,Churn
47,3.0,17.07,4592,Month-to-Month,1,DSL,61.15,1,1,34146,4,0,0,0,1,61.15,0.0,17.07,78.22,1,0
48,20.0,38.5,2651,Month-to-Month,1,Fiber Optic,69.8,0,1,31963,4,0,0,0,6,377.85,0.0,231.0,608.85,1,0
68,19.0,8.97,5166,Month-to-Month,1,Fiber Optic,100.05,1,1,452,1,1,0,1,47,4871.05,0.0,421.59,5292.64,1,1
48,0.0,19.28,5190,Two Year,0,Fiber Optic,20.3,0,1,78114,5,0,0,0,12,224.5,0.0,231.36,455.86,0,0
60,0.0,47.46,3142,Month-to-Month,0,Fiber Optic,20.0,0,1,2664,3,0,0,0,6,109.2,0.0,284.76,393.96,0,0
50,28.0,22.05,4017,Month-to-Month,1,Cable,59.85,1,1,93315,2,0,0,1,1,59.85,0.0,22.05,81.9,1,1
80,5.0,28.64,5345,Month-to-Month,1,Fiber Optic,71.0,0,1,48690,3,0,0,0,1,71.0,0.0,28.64,99.64,1,1
76,10.0,42.29,2677,One Year,1,Fiber Optic,95.05,1,1,43141,4,1,0,1,42,3944.5,100.0,1776.18,5820.68,0,0
34,0.0,40.91,4311,Two Year,0,Fiber Optic,19.85,0,1,20893,4,0,0,0,70,1328.35,0.0,2863.7,4158.76,0,0
30,30.0,17.22,5944,Month-to-Month,1,Fiber Optic,76.5,1,1,47065,1,0,0,0,2,162.45,0.0,34.44,196.89,1,1
50,11.0,35.49,3585,Month-to-Month,1,Cable,72.9,0,1,33878,1,1,1,1,9,651.4,0.0,319.41,970.81,1,1
28,52.0,35.2,5605,Month-to-Month,1,DSL,58.5,1,1,455,3,0,0,0,4,224.85,0.0,140.8,365.65,1,0
46,0.0,44.84,6334,Two Year,0,Fiber Optic,25.05,1,1,47143,5,0,0,0,71,1873.7,0.0,3183.64,5057.34,0,0
69,19.0,45.88,2482,Month-to-Month,1,Fiber Optic,91.7,1,1,47224,1,0,0,0,30,2758.15,0.0,1376.4,4134.55,1,1
35,56.0,12.96,4480,Two Year,1,DSL,80.45,0,1,2220,3,1,1,1,72,5886.85,0.0,933.12,6819.97,1,0
37,14.0,2.72,2388,Month-to-Month,1,Fiber Optic,70.7,0,1,9752,4,0,0,0,2,129.2,10.0,5.44,144.64,0,0
60,0.0,18.64,3828,Two Year,0,Fiber Optic,20.2,0,1,202,5,0,0,0,48,1027.25,0.0,894.72,1921.97,0,0
39,6.0,14.07,2187,Month-to-Month,1,Fiber Optic,85.7,1,1,10520,2,1,1,0,2,169.8,0.0,28.14,197.94,1,1
35,13.0,22.33,2039,Month-to-Month,1,DSL,60.05,1,1,56709,2,0,0,0,26,1616.15,0.0,580.58,2196.73,1,1
20,27.0,26.63,5611,Month-to-Month,1,DSL,44.0,0,1,2756,3,0,1,0,13,659.35,0.0,346.19,1005.54,1,0
59,76.0,29.5,6123,One Year,1,DSL,75.1,0,1,30580,4,0,0,1,66,5013.0,0.0,1947.0,6960.0,1,0
27,0.0,43.5,3854,Month-to-Month,0,Fiber Optic,19.9,0,1,6242,3,0,0,0,14,283.75,0.0,609.0,892.75,0,0
39,13.0,35.18,3972,Month-to-Month,1,Fiber Optic,74.75,1,1,1247,1,0,0,0,3,229.5,0.0,105.54,335.04,1,1
63,20.0,27.0,4634,Two Year,1,Cable,64.75,0,1,42491,3,1,1,0,55,3617.1,0.0,1485.0,5102.1,1,0
71,21.0,0.0,6285,Month-to-Month,1,DSL,29.45,0,0,2064,4,0,0,0,51,1459.35,0.0,0.0,1459.35,1,0
38,30.0,0.0,4507,Two Year,1,Cable,43.6,0,0,850,4,1,1,0,62,2748.7,0.0,0.0,2748.7,1,0
76,15.0,3.42,2768,Two Year,1,Fiber Optic,83.45,0,1,21990,3,1,0,0,38,3147.15,0.0,129.96,3252.13,1,0
76,9.0,0.0,5295,Two Year,1,DSL,64.45,0,0,11191,5,1,1,1,72,4641.1,0.0,0.0,4641.1,1,0
62,20.0,44.0,6202,Two Year,1,Fiber Optic,84.5,1,1,53636,5,1,1,0,72,6130.85,0.0,3168.0,9298.85,1,0
44,0.0,10.83,5946,Two Year,0,Fiber Optic,20.5,0,1,37322,5,0,0,0,54,1035.7,0.0,584.82,1620.52,0,0
74,4.0,46.5,4990,Month-to-Month,1,Cable,86.65,1,1,263,1,1,0,0,10,856.65,0.0,465.0,1321.65,1,1
66,28.0,45.37,6019,One Year,1,Fiber Optic,97.8,1,1,25418,3,1,0,1,58,5458.8,0.0,2631.46,8090.26,1,0
33,10.0,33.82,5870,One Year,1,Fiber Optic,105.05,1,1,30614,5,1,1,1,58,6004.85,0.0,1961.56,7966.41,1,0
58,21.0,1.88,4521,Month-to-Month,1,DSL,50.8,0,1,24169,5,0,0,0,4,202.3,0.0,7.52,209.82,1,0
59,26.0,0.0,5474,Month-to-Month,1,DSL,33.5,0,0,223,2,0,0,0,18,600.0,0.0,0.0,600.0,1,1
60,0.0,47.33,5448,One Year,0,Fiber Optic,24.6,1,1,904,3,0,0,0,24,592.65,0.0,1135.92,1728.57,0,0
19,59.0,37.32,4081,One Year,1,DSL,88.8,1,1,48690,3,1,1,1,67,5903.15,0.0,2500.44,8403.59,1,0
47,26.0,4.34,2709,One Year,1,Fiber Optic,104.85,1,1,3680,4,1,1,1,38,3887.25,0.0,164.92,4052.17,1,0
54,0.0,15.51,5527,Month-to-Month,0,Fiber Optic,20.9,0,1,27614,3,0,0,0,1,20.9,0.0,15.51,36.41,0,1
56,30.0,29.29,5219,Two Year,1,DSL,82.3,1,1,265,3,1,1,0,72,5980.55,140.0,2108.88,8229.43,0,0
63,3.0,44.73,5861,Month-to-Month,1,Fiber Optic,74.6,1,1,42239,1,0,0,0,1,74.6,0.0,44.73,119.33,1,1
63,10.0,20.13,5056,Month-to-Month,1,DSL,64.1,0,1,31882,3,0,0,1,40,2460.35,0.0,805.2,3265.55,1,0
58,57.0,0.0,2898,Two Year,1,DSL,40.55,0,0,12348,3,0,0,0,13,590.35,0.0,0.0,590.35,1,0
26,85.0,21.45,4908,One Year,1,Fiber Optic,104.5,1,1,25578,4,0,0,1,63,6590.8,0.0,1351.35,7942.15,1,0
68,13.0,15.82,4032,Two Year,1,DSL,78.45,1,1,1279,3,1,1,0,72,5682.25,0.0,1139.04,6821.29,1,0
33,20.0,43.14,6183,Month-to-Month,1,Fiber Optic,103.1,1,1,813,3,1,1,0,66,6595.0,0.0,2847.24,9442.24,1,0
49,28.0,0.0,4051,Two Year,1,DSL,54.65,0,0,27786,5,1,1,1,66,3632.0,0.0,0.0,3585.25,1,0
58,7.0,0.0,3100,Two Year,1,DSL,49.85,0,0,1107,3,1,1,0,12,552.1,0.0,0.0,552.1,1,0
20,85.0,42.59,5816,Two Year,1,DSL,71.9,1,1,44915,4,1,1,0,63,4479.2,0.0,2683.17,7162.37,1,0
42,27.0,38.53,3972,Two Year,1,DSL,78.8,0,1,1205,4,1,1,1,43,3460.3,0.0,1656.79,5092.19,1,0
30,59.0,31.67,4533,Month-to-Month,1,Cable,79.35,1,1,1519,3,0,0,0,9,661.25,10.0,285.03,956.28,0,1
50,12.0,13.69,2886,One Year,1,Fiber Optic,91.25,0,1,51855,5,0,0,1,28,2483.65,0.0,383.32,2866.97,1,0
56,19.0,39.07,5266,Two Year,1,DSL,61.4,1,1,3535,3,0,0,0,69,4059.85,0.0,2695.83,6755.68,1,0
76,19.0,38.85,5269,Two Year,1,Fiber Optic,101.4,1,1,1278,4,1,0,1,67,6841.05,0.0,2602.95,9444.0,1,0
23,0.0,16.42,4501,One Year,0,Fiber Optic,24.15,1,1,42476,3,0,0,0,60,1505.9,0.0,985.2,2491.1,0,0
22,51.0,18.62,5870,Month-to-Month,1,DSL,50.3,0,1,383,5,0,0,0,2,92.75,0.0,37.24,129.99,1,0
50,21.0,0.0,2933,Month-to-Month,1,DSL,39.65,0,0,41390,1,0,0,1,19,733.35,0.0,0.0,733.35,1,1
44,24.0,44.14,5962,Month-to-Month,1,DSL,59.8,0,1,613,4,0,0,1,14,824.85,0.0,617.96,1442.81,1,0
41,19.0,14.64,5284,Month-to-Month,1,DSL,50.2,0,1,2687,4,0,0,0,43,2169.4,0.0,629.52,2798.92,1,0
47,6.0,44.45,5870,One Year,1,DSL,70.5,0,1,28,4,1,1,0,32,2201.75,0.0,1422.4,3624.15,1,0
61,0.0,33.92,5475,Two Year,0,Fiber Optic,26.1,1,1,7023,3,0,0,0,72,1851.45,0.0,2442.24,4293.69,0,0
75,25.0,1.92,3728,Two Year,1,Fiber Optic,93.9,1,1,812,4,0,0,1,18,1743.9,0.0,34.56,1778.46,1,0
43,12.0,31.31,4770,One Year,1,Fiber Optic,91.25,0,1,3070,3,0,0,1,52,4738.3,0.0,1628.12,6366.42,1,0
29,0.0,3.58,4761,One Year,0,Fiber Optic,19.5,0,1,72893,4,0,0,0,25,516.3,0.0,89.5,605.8,0,0
75,18.0,26.82,4368,One Year,1,Cable,68.45,1,1,12884,4,0,0,0,56,4014.0,0.0,1501.92,5515.92,1,0
21,48.0,23.52,4799,Month-to-Month,1,DSL,70.3,0,1,790,3,1,1,1,2,132.4,0.0,47.04,179.44,1,0
42,21.0,8.29,4080,Month-to-Month,1,DSL,62.8,0,1,14010,4,1,1,0,7,418.3,0.0,58.03,476.33,1,0
30,53.0,0.0,2967,Month-to-Month,1,DSL,23.9,0,0,343,3,0,0,0,13,300.8,0.0,0.0,300.8,1,1
59,18.0,47.64,5087,Two Year,1,Fiber Optic,88.95,0,1,103214,3,0,0,1,33,3027.65,0.0,1572.12,4599.77,1,0
45,25.0,22.52,5154,One Year,1,Fiber Optic,106.65,1,1,1007,5,1,1,1,49,5168.1,130.0,1103.48,6401.58,0,0
77,19.0,6.97,5374,Month-to-Month,1,Fiber Optic,80.45,0,1,1845,2,1,0,0,12,950.2,0.0,83.64,1033.84,1,1
48,4.0,19.22,4968,One Year,1,Fiber Optic,102.5,1,1,481,5,1,1,1,60,6157.6,0.0,1153.2,7310.8,1,0
42,26.0,10.9,6005,Two Year,1,Cable,54.2,0,1,44915,4,0,0,0,67,3838.2,10.0,730.3,4578.5,0,0
76,19.0,34.39,3104,One Year,1,Fiber Optic,104.65,1,1,25126,4,1,0,1,27,2964.0,0.0,928.53,3892.53,1,0
21,73.0,32.08,3700,Month-to-Month,1,DSL,44.7,0,1,36186,3,0,1,0,1,44.7,0.0,32.08,76.78,1,1
80,17.0,39.51,3711,Month-to-Month,1,Fiber Optic,74.6,0,1,32562,5,0,0,0,3,239.05,30.0,118.53,387.58,0,0
62,20.0,11.74,5804,Month-to-Month,1,Fiber Optic,90.4,0,1,2344,3,0,0,1,49,4494.65,0.0,575.26,5069.91,1,0
69,2.0,10.55,3172,Month-to-Month,1,Fiber Optic,79.3,1,1,7831,5,0,0,0,29,2414.55,0.0,305.95,2720.5,1,0
77,8.0,40.5,5610,Two Year,1,DSL,74.85,1,1,18999,5,1,0,1,30,2181.75,0.0,1215.0,3396.75,1,0
33,25.0,18.75,2061,Month-to-Month,1,Fiber Optic,86.55,1,1,521,5,1,1,0,12,1066.9,110.0,225.0,1401.9,0,0
73,20.0,0.0,5372,One Year,1,DSL,56.45,0,0,16398,3,1,1,1,71,3985.35,0.0,0.0,3985.35,1,0
32,13.0,2.45,4543,One Year,1,Fiber Optic,103.7,0,1,7615,4,1,1,1,47,4730.6,0.0,115.15,4845.75,1,0
30,30.0,37.65,5665,One Year,1,Fiber Optic,94.75,1,1,3124,4,0,0,1,54,5121.75,70.0,2033.1,7224.85,0,0
64,17.0,32.87,5830,Month-to-Month,1,Fiber Optic,95.15,1,1,21097,3,1,1,0,19,1789.25,120.0,624.53,2533.78,0,1
37,0.0,48.14,3678,Month-to-Month,0,Fiber Optic,20.8,0,1,35109,4,0,0,0,1,20.8,0.0,48.14,68.94,0,0
77,20.0,3.83,3689,Month-to-Month,1,Fiber Optic,92.55,1,1,24973,3,1,0,1,17,1614.7,0.0,65.11,1679.81,1,0
68,17.0,34.39,5507,One Year,1,Fiber Optic,106.0,1,1,659,3,1,0,1,60,6441.4,110.0,2063.4,8614.8,0,1
25,69.0,0.0,3423,One Year,1,DSL,54.3,0,0,1519,5,1,1,1,44,2317.1,10.0,0.0,2327.1,0,0
39,19.0,18.74,5584,Two Year,1,Fiber Optic,95.1,1,1,333,3,0,0,1,72,6843.15,0.0,1349.28,8192.43,1,0
24,0.0,8.21,2745,Two Year,0,Fiber Optic,19.8,0,1,46532,3,0,0,0,37,726.1,0.0,303.77,1029.87,0,0
31,4.0,0.0,5493,One Year,1,Cable,50.05,0,0,13212,3,1,1,0,60,2911.5,0.0,0.0,2911.5,1,0
62,29.0,44.96,3443,Month-to-Month,1,Fiber Optic,80.05,1,1,6848,5,0,0,0,17,1345.65,0.0,764.32,2109.97,1,0
67,2.0,26.99,3443,Month-to-Month,1,Fiber Optic,80.45,0,1,40239,1,0,0,1,8,583.45,0.0,215.92,799.37,1,1
47,30.0,27.75,5649,Two Year,1,Fiber Optic,105.1,1,1,254,3,1,1,1,65,6631.85,0.0,1803.75,8435.6,1,0
19,53.0,4.65,5361,Month-to-Month,1,Fiber Optic,90.35,0,1,46171,3,0,0,1,2,190.5,0.0,9.3,199.8,1,0
73,19.0,0.0,4694,Month-to-Month,1,DSL,25.2,0,0,28900,3,0,0,0,4,102.5,0.0,0.0,102.5,1,1
78,7.0,32.4,5638,Month-to-Month,1,Fiber Optic,73.75,1,1,4579,2,0,0,0,7,545.15,0.0,226.8,771.95,1,1
34,0.0,49.91,3009,Month-to-Month,0,Fiber Optic,19.3,0,1,47758,3,0,0,0,2,44.4,0.0,99.82,144.22,0,0
48,23.0,26.3,6483,Two Year,1,DSL,77.8,1,1,261,5,1,1,1,55,4323.35,0.0,1446.5,5769.85,1,0
50,19.0,0.0,3540,Month-to-Month,1,Cable,30.15,0,0,13996,5,0,0,0,13,382.2,10.0,0.0,392.2,0,0
72,28.0,0.0,5597,Two Year,1,DSL,56.25,0,0,1022,3,1,0,1,34,1765.95,0.0,0.0,1765.95,1,0
53,15.0,0.0,4969,Two Year,1,DSL,65.1,0,0,1477,4,1,1,1,72,4754.3,0.0,0.0,4754.3,1,0
62,27.0,0.0,2088,Month-to-Month,1,DSL,25.25,0,0,182,1,0,0,0,3,58.9,0.0,0.0,58.9,1,1
61,28.0,0.0,5092,One Year,1,DSL,36.1,0,0,24492,3,0,0,0,56,1971.5,60.0,0.0,2031.5,0,0
19,0.0,19.38,4001,Month-to-Month,0,Fiber Optic,21.05,0,1,18529,3,0,0,0,12,235.8,0.0,232.56,468.36,0,0
23,59.0,21.56,3038,Month-to-Month,1,Fiber Optic,114.5,1,1,10520,1,1,1,1,41,4527.45,0.0,883.96,5411.41,1,1
30,41.0,28.27,4882,Month-to-Month,1,Fiber Optic,87.55,1,1,6503,3,0,0,0,57,4884.85,0.0,1611.39,6494.41,1,0
43,4.0,42.41,3801,Month-to-Month,1,DSL,78.9,1,1,36631,4,0,0,1,37,2976.95,30.0,1569.17,4576.12,0,0
63,14.0,1.55,5795,Month-to-Month,1,Fiber Optic,73.95,0,1,34902,3,0,0,0,34,2524.45,0.0,52.7,2577.15,1,1
64,23.0,10.67,5700,Two Year,1,Fiber Optic,109.25,1,1,16398,4,1,1,1,63,6841.4,0.0,672.21,7513.61,1,0
62,17.0,2.12,4115,Month-to-Month,1,Fiber Optic,93.8,1,1,27453,1,0,0,1,31,3019.5,50.0,65.72,3135.22,0,1
31,0.0,22.12,3663,Month-to-Month,0,Fiber Optic,20.4,0,1,183,3,0,0,0,1,20.4,0.0,22.12,42.52,0,1
30,26.0,44.57,3359,Month-to-Month,1,Cable,70.3,0,1,29245,3,1,1,0,24,1706.45,0.0,1069.68,2776.13,1,0
73,30.0,5.75,2645,One Year,1,Cable,70.15,0,1,44150,3,0,0,1,38,2497.35,0.0,218.5,2715.85,1,1
49,21.0,41.4,4029,Two Year,1,Cable,59.85,0,1,27,3,0,0,0,60,3483.45,0.0,2484.0,5967.45,1,0
55,18.0,4.32,5444,Two Year,1,Fiber Optic,110.6,1,1,335,3,1,1,1,72,7962.2,0.0,311.04,8273.24,1,0
71,27.0,40.19,2656,Two Year,1,Fiber Optic,85.35,1,1,69974,5,0,0,1,22,1961.6,0.0,884.18,2845.78,1,0
19,27.0,13.16,4983,One Year,1,Fiber Optic,110.45,1,1,37364,4,1,1,1,30,3327.05,0.0,394.8,3721.85,1,0
77,25.0,38.32,5348,One Year,1,Fiber Optic,94.4,0,1,76890,4,1,1,0,65,6126.15,0.0,2490.8,8616.95,1,0
40,15.0,9.72,6317,Two Year,1,Cable,80.85,1,1,452,4,1,1,0,72,5824.75,10.0,699.84,6534.59,0,0
36,20.0,39.9,3443,Month-to-Month,1,Cable,45.3,0,1,10253,2,0,0,0,4,196.95,0.0,159.6,356.55,1,1
55,29.0,0.0,5941,One Year,1,DSL,49.45,0,0,32148,3,1,1,1,22,1031.4,0.0,0.0,1031.4,1,0
26,0.0,45.13,4868,Month-to-Month,0,Fiber Optic,25.05,1,1,73117,5,0,0,0,7,152.95,0.0,315.91,468.86,0,0
31,0.0,27.7,5390,One Year,0,Fiber Optic,19.15,0,1,1954,3,0,0,0,55,998.1,0.0,1523.5,2521.6,0,0
62,0.0,10.32,4116,Two Year,0,Fiber Optic,18.7,0,1,2633,5,0,0,0,53,1005.7,0.0,546.96,1552.66,0,0
64,13.0,22.41,4022,One Year,1,Fiber Optic,116.25,1,1,38519,3,1,1,1,34,3899.05,0.0,761.94,4660.99,1,0
20,48.0,8.3,3652,Month-to-Month,1,DSL,59.8,0,1,75,3,1,1,0,19,1130.85,0.0,157.7,1288.55,1,0
32,18.0,42.55,4741,Month-to-Month,1,Fiber Optic,78.1,0,1,21065,3,1,1,0,12,947.3,0.0,510.6,1457.9,1,1
43,25.0,6.68,4135,One Year,1,Fiber Optic,110.5,0,1,9673,3,1,1,1,53,5835.5,0.0,354.04,6189.54,1,0
40,20.0,12.54,5964,Month-to-Month,1,Fiber Optic,80.85,0,1,74232,1,1,1,0,13,1008.7,0.0,163.02,1171.72,1,1
35,0.0,32.54,5535,Month-to-Month,0,Fiber Optic,20.15,0,1,13188,4,0,0,0,4,84.5,0.0,130.16,214.66,0,0
21,0.0,35.46,2011,Two Year,0,Fiber Optic,19.75,0,1,28819,4,0,0,0,41,899.45,0.0,1453.86,2353.31,0,0
40,15.0,41.03,3407,Month-to-Month,1,Fiber Optic,95.15,1,1,24945,3,1,1,0,37,3532.85,0.0,1518.11,5050.96,1,0
33,12.0,3.47,3459,Two Year,1,DSL,74.45,0,1,7177,3,1,1,1,47,3510.3,0.0,163.09,3673.39,1,0
27,48.0,10.4,5822,Month-to-Month,1,Fiber Optic,105.5,0,1,46984,3,1,1,1,25,2686.05,0.0,260.0,2946.05,1,0
73,6.0,30.17,5536,Month-to-Month,1,Fiber Optic,93.55,1,1,51213,1,1,0,1,1,93.55,0.0,30.17,123.72,1,1
39,0.0,31.37,2056,Two Year,0,Fiber Optic,19.1,0,1,25751,3,0,0,0,40,780.1,0.0,1254.8,1989.3,0,0
44,22.0,17.18,4110,Month-to-Month,1,DSL,56.25,0,1,38547,1,0,0,0,6,389.1,0.0,103.08,492.18,1,1
28,48.0,46.9,4847,One Year,1,Fiber Optic,100.55,1,1,13706,3,1,1,1,56,5514.95,0.0,2626.4,8141.35,1,0
24,47.0,6.36,4736,One Year,1,Fiber Optic,103.25,1,1,37280,1,1,1,1,48,5037.55,0.0,305.28,5342.83,1,1
20,48.0,41.15,4620,One Year,1,Fiber Optic,107.0,1,1,413,4,1,1,0,59,6152.3,0.0,2427.85,8580.15,0,0
36,17.0,13.14,4273,Two Year,1,Fiber Optic,109.2,0,1,1328,4,1,1,1,63,7049.75,0.0,827.82,7877.57,1,0
62,29.0,20.1,4830,Month-to-Month,1,DSL,60.25,1,1,23789,4,0,0,1,3,170.5,70.0,60.3,300.8,0,0
54,20.0,5.32,2683,Month-to-Month,1,Fiber Optic,80.6,1,1,34902,1,0,0,0,2,155.8,0.0,10.64,166.44,1,1
48,0.0,11.81,6440,Two Year,0,Fiber Optic,19.85,0,1,88,4,0,0,0,58,1158.85,0.0,684.98,1843.83,0,0
46,14.0,10.23,6034,Two Year,1,Cable,59.8,0,1,571,5,0,0,1,65,3808.2,0.0,664.95,4473.15,1,0
40,8.0,36.47,2994,One Year,1,DSL,56.3,1,1,24660,5,0,0,0,41,2364.0,0.0,1495.27,3859.27,1,0
51,18.0,48.02,3363,Two Year,1,Fiber Optic,95.2,0,1,101,5,1,1,1,45,4285.8,50.0,2160.9,6452.75,0,0
62,18.0,26.51,4971,Month-to-Month,1,Fiber Optic,89.45,0,1,74232,2,1,1,1,9,853.1,0.0,238.59,1091.69,1,1
27,42.0,49.88,5427,One Year,1,DSL,65.65,0,1,32202,3,1,1,0,48,3094.65,0.0,2394.24,5488.89,1,0
62,0.0,30.09,4836,Two Year,0,Fiber Optic,20.35,0,1,10147,5,0,0,0,1,20.35,0.0,30.09,50.44,0,0
69,23.0,20.78,4309,Two Year,1,Fiber Optic,96.55,0,1,66838,5,1,1,1,24,2263.45,0.0,498.72,2762.17,1,0
39,27.0,24.51,4544,Month-to-Month,1,Fiber Optic,97.35,1,1,36349,2,0,0,1,36,3457.9,0.0,882.36,4335.3,1,1
62,0.0,32.05,4673,Two Year,0,Fiber Optic,25.0,1,1,24644,4,0,0,0,61,1498.35,0.0,1955.05,3453.4,0,0
34,0.0,39.37,4865,One Year,0,Fiber Optic,24.05,1,1,3930,3,0,0,0,53,1301.9,0.0,2086.61,3388.51,0,0
25,51.0,11.47,3654,Month-to-Month,1,DSL,58.7,0,1,36125,3,0,0,1,3,168.6,0.0,34.41,203.01,1,0
61,27.0,46.1,6468,Two Year,1,DSL,88.55,1,1,51348,4,1,1,1,72,6362.35,0.0,3319.2,9681.55,1,0
48,0.0,27.3,6094,Two Year,0,Fiber Optic,20.0,0,1,33057,3,0,0,0,54,1149.65,0.0,1474.2,2623.85,0,0
74,16.0,11.32,3273,Month-to-Month,1,Fiber Optic,91.95,1,1,20675,5,0,0,1,36,3301.05,0.0,407.52,3690.81,1,0
58,30.0,46.17,2007,Month-to-Month,1,Fiber Optic,70.1,0,1,7872,3,0,0,0,1,70.1,0.0,46.17,116.27,1,1
34,53.0,8.69,3457,Month-to-Month,1,Fiber Optic,75.15,0,1,69850,1,0,0,0,7,496.9,0.0,60.83,557.73,1,1
41,6.0,0.0,3605,Month-to-Month,1,DSL,31.35,0,0,3148,2,0,0,0,1,31.35,80.0,0.0,111.35,0,1
37,19.0,0.0,3424,One Year,1,DSL,40.3,0,0,4563,3,0,0,0,39,1630.4,0.0,0.0,1630.4,1,0
48,13.0,28.8,5897,Month-to-Month,1,Cable,74.95,1,1,51213,3,0,0,0,23,1710.45,0.0,662.4,2372.85,1,1
50,5.0,41.38,3167,Month-to-Month,1,DSL,54.2,0,1,435,4,0,0,1,3,140.4,0.0,124.14,264.54,1,0
61,0.0,33.13,2024,One Year,0,Fiber Optic,19.65,0,1,25303,3,0,0,0,13,244.8,0.0,430.69,675.49,0,0
63,17.0,25.17,4989,Month-to-Month,1,Fiber Optic,75.35,1,1,32901,3,0,0,0,7,564.65,0.0,176.19,740.84,1,0
57,12.0,25.79,4103,Month-to-Month,1,Cable,94.4,1,1,19763,1,0,0,1,17,1607.2,0.0,438.43,2045.63,1,1
68,9.0,0.0,4095,Month-to-Month,1,Cable,25.7,0,0,476,1,0,0,0,1,25.7,0.0,0.0,25.7,1,1
35,0.0,27.66,2717,Two Year,0,Fiber Optic,19.15,0,1,5654,3,0,0,0,17,343.45,0.0,470.22,785.04,0,0
28,0.0,38.73,5586,One Year,0,Fiber Optic,20.1,0,1,1873,5,0,0,0,18,401.85,0.0,697.14,1098.99,0,0
34,0.0,29.14,4580,Month-to-Month,0,Fiber Optic,19.6,0,1,60889,4,0,0,0,4,93.45,0.0,116.56,210.01,0,0
40,13.0,40.28,4583,Month-to-Month,1,Fiber Optic,106.05,1,1,3663,4,1,1,1,70,7554.05,0.0,2819.6,10373.65,1,0
50,17.0,46.5,4093,Month-to-Month,1,Fiber Optic,93.2,0,1,405,4,1,1,1,22,2157.3,0.0,1023.0,3180.3,1,0
